dedupe_key,source_system,authors_full,title,year,venue,type,doi,url,screen_title,screen_abstract,screen_fulltext,role,exclusion_reason
doi:10.1038/s41598-025-32920-z,Scopus,"Yang, Shihao; Wen, Zirui; Zhan, Wenxin; Fotedar, Neel; Shih, Yen Cheng; Ding, Junen; Bernardo, Danilo R.; Kallioniemi, Elisa; Weil, Alexander Gregory; Huang, Xiying; Rosenow, Felix; Sun, Hai; Liu, Yotsen; Wu, Shasha; Liu, Feng",Knowledge graph representation of the mappings between seizure semiology and epileptogenic zones,2026.0,Scientific Reports,Article,10.1038/s41598-025-32920-z,https://doi.org/10.1038/s41598-025-32920-z,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1038/s41598-025-33206-0,Scopus,"Luo, Lixia; Zhang, Yusha; Tang, Qitao",Semantic decentralized authentication for IoT-based e-learning using Hedera Hashgraph and Knowledge Graphs,2026.0,Scientific Reports,Article,10.1038/s41598-025-33206-0,https://doi.org/10.1038/s41598-025-33206-0,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1038/s41598-025-32952-5,Scopus,"Hu, Bin; Tao, Xiongjie; Guo, Hui; Li, Jiecheng; Pang, Guangyao; Xie, Di",Graph transformer for link prediction on N-ary facts,2026.0,Scientific Reports,Article,10.1038/s41598-025-32952-5,https://doi.org/10.1038/s41598-025-32952-5,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.bspc.2026.109699,Scopus,"Su, Shunchang; Hu, Manjie; Wei, Liping; Yan, Zhengang",Cross-subject seizure detection with isochronous time–frequency gated attention and incremental graph bias,2026.0,Biomedical Signal Processing and Control,Article,10.1016/j.bspc.2026.109699,https://doi.org/10.1016/j.bspc.2026.109699,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.health.2025.100445,Scopus,"Nguyen, Hoang Bach; Pham, Quang Tung; Nguyen, Sinh Huy; Nguyen, Chithanh; Tran, Thanh Hai; Vu, Hai",An intelligent machine learning approach for predicting and explaining brain injury severity,2026.0,Healthcare Analytics,Article,10.1016/j.health.2025.100445,https://doi.org/10.1016/j.health.2025.100445,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.ress.2025.112123,Scopus,"Xiao, Xingyu; Qi, Ben; Yin, Zijian; Tong, Jiejuan; Sun, Jun; Sui, Zhe; Liang, Jingang; Zhao, Jun; Wang, Haitao",AutoGraph: An intelligent knowledge-graph agent for procedure automation and dynamic human reliability support in high-risk industries,2026.0,Reliability Engineering and System Safety,Article,10.1016/j.ress.2025.112123,https://doi.org/10.1016/j.ress.2025.112123,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.ssci.2026.107133,Scopus,"Yang, Bin; Hu, Jinming; Meng, Xin; Wang, Congjun; Wang, Xiaopeng",Knowledge graphs in smart construction safety management: A systematic review,2026.0,Safety Science,Review,10.1016/j.ssci.2026.107133,https://doi.org/10.1016/j.ssci.2026.107133,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.ins.2025.122980,Scopus,"Wang, Xing; Wang, Haosen; Zhang, Ziyu; Lv, Zhaolin; Pan, Qingtao; Tang, Jun",HyperDVM: A hypergraph model with dual-view selection mechanism,2026.0,Information Sciences,Article,10.1016/j.ins.2025.122980,https://doi.org/10.1016/j.ins.2025.122980,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.energy.2026.140256,Scopus,"Xue, Qi; Jin, Xinqiao; Lyu, Yuan; Jia, Zhiyang; Du, Zhimin",Graph network-based design optimization of multiple chiller systems with knowledge from existing systems,2026.0,Energy,Article,10.1016/j.energy.2026.140256,https://doi.org/10.1016/j.energy.2026.140256,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.hspr.2025.10.004,Scopus,"Li, Senshen; Zhang, Chun; Yang, Guoyuan; Bai, Wei; Pang, Shaoxiong; Wang, Xiaoshu; Yao, Jian; Zhang, Ning",A knowledge modeling method for high-speed railway emergency faults based on structured logic diagrams and knowledge graphs,2026.0,High-speed Railway,Article,10.1016/j.hspr.2025.10.004,https://doi.org/10.1016/j.hspr.2025.10.004,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
doi:10.1016/j.datak.2025.102510,Scopus,"Tauqeer, Amar; Chhetri, Tek Raj; David, Robert; Ahmeti, Albin; Fensel, Anna","An integrated approach to GDPR-compliant data sharing employing consent, contracts, and licenses",2026.0,Data and Knowledge Engineering,Article,10.1016/j.datak.2025.102510,https://doi.org/10.1016/j.datak.2025.102510,exclude,exclude,exclude,exclude,Out of scope by title (no clear link to graph schema languages or integrity constraints)
